file,type,characters,characters_without_spaces,words,tokens,tokens_per_word,file_size_kb
reference_annual_10_original.txt,Annual,1600,1326,234,336,1.436,1.62
reference_annual_11_original.txt,Annual,914,750,137,206,1.504,0.92
reference_annual_12_original.txt,Annual,2234,1837,340,638,1.876,2.25
reference_annual_13_original.txt,Annual,3791,3122,593,999,1.685,3.79
reference_annual_14_original.txt,Annual,3805,3132,597,749,1.255,3.8
reference_annual_15_original.txt,Annual,4060,3363,619,843,1.362,4.06
reference_annual_16_original.txt,Annual,2152,1770,350,582,1.663,2.17
reference_annual_17_original.txt,Annual,1322,1102,209,320,1.531,1.31
reference_annual_18_original.txt,Annual,1425,1177,217,289,1.332,1.42
reference_annual_19_original.txt,Annual,1540,1291,235,384,1.634,1.54
reference_annual_1_original.txt,Annual,1417,1179,221,273,1.235,1.4
reference_annual_20_original.txt,Annual,4128,3387,681,1065,1.564,4.13
reference_annual_21_original.txt,Annual,2339,1924,373,510,1.367,2.33
reference_annual_22_original.txt,Annual,1858,1565,269,433,1.61,1.86
reference_annual_23_original.txt,Annual,930,749,157,249,1.586,0.93
reference_annual_24_original.txt,Annual,2555,2110,378,680,1.799,2.56
reference_annual_25_original.txt,Annual,1169,950,193,332,1.72,1.17
reference_annual_2_original.txt,Annual,4165,3460,656,967,1.474,4.13
reference_annual_3_original.txt,Annual,1322,1081,227,340,1.498,1.31
reference_annual_4_original.txt,Annual,1943,1644,272,384,1.412,1.93
reference_annual_5_original.txt,Annual,1218,1006,193,292,1.513,1.22
reference_annual_6_original.txt,Annual,2024,1683,306,420,1.373,2.02
reference_annual_7_original.txt,Annual,1904,1586,284,514,1.81,1.9
reference_annual_8_original.txt,Annual,3740,3160,570,760,1.333,3.67
reference_annual_9_original.txt,Annual,5311,4348,843,1243,1.474,5.31
reference_quartely_10_original.txt,Quarterly,1866,1569,279,525,1.882,1.85
reference_quartely_11_original.txt,Quarterly,3509,2834,592,1070,1.807,3.51
reference_quartely_12_original.txt,Quarterly,2220,1830,366,726,1.984,2.2
reference_quartely_13_original.txt,Quarterly,2117,1746,351,631,1.798,2.1
reference_quartely_14_original.txt,Quarterly,5820,4825,923,1528,1.655,5.81
reference_quartely_15_original.txt,Quarterly,4019,3383,589,1121,1.903,4.08
reference_quartely_16_original.txt,Quarterly,2263,1904,340,652,1.918,2.32
reference_quartely_17_original.txt,Quarterly,2099,1739,316,503,1.592,2.11
reference_quartely_18_original.txt,Quarterly,635,510,113,178,1.575,0.64
reference_quartely_19_original.txt,Quarterly,2540,2153,387,781,2.018,2.51
reference_quartely_1_original.txt,Quarterly,1152,922,196,355,1.811,1.16
reference_quartely_20_original.txt,Quarterly,2742,2257,428,591,1.381,2.74
reference_quartely_21_original.txt,Quarterly,2157,1831,326,687,2.107,2.18
reference_quartely_22_original.txt,Quarterly,3674,3029,585,898,1.535,3.67
reference_quartely_23_original.txt,Quarterly,2710,2208,437,690,1.579,2.72
reference_quartely_24_original.txt,Quarterly,2493,2080,382,704,1.843,2.49
reference_quartely_25_original.txt,Quarterly,916,752,147,259,1.762,0.92
reference_quartely_2_original.txt,Quarterly,1844,1508,293,476,1.625,1.86
reference_quartely_3_original.txt,Quarterly,1373,1171,194,319,1.644,1.36
reference_quartely_4_original.txt,Quarterly,1411,1190,202,393,1.946,1.4
reference_quartely_5_original.txt,Quarterly,1728,1445,270,490,1.815,1.71
reference_quartely_6_original.txt,Quarterly,1662,1387,262,499,1.905,1.64
reference_quartely_7_original.txt,Quarterly,1634,1364,253,470,1.858,1.62
reference_quartely_8_original.txt,Quarterly,1459,1214,230,451,1.961,1.44
reference_quartely_9_original.txt,Quarterly,2098,1760,327,580,1.774,2.07
