file,type,characters,characters_without_spaces,words,tokens,tokens_per_word,file_size_kb
report_annual_1.md,Annual,258272,222489,32060,63438,1.979,257.52
report_annual_10.md,Annual,103230,87515,14355,23426,1.632,102.62
report_annual_11.md,Annual,121341,103559,16212,29670,1.83,121.23
report_annual_12.md,Annual,213326,181482,27941,53201,1.904,212.91
report_annual_13.md,Annual,937013,803094,124323,244978,1.97,926.27
report_annual_14.md,Annual,301547,255966,40219,74909,1.863,302.47
report_annual_15.md,Annual,639135,551278,82830,143750,1.735,632.96
report_annual_16.md,Annual,205639,176547,27174,48379,1.78,204.51
report_annual_17.md,Annual,269461,233210,33337,67205,2.016,267.07
report_annual_18.md,Annual,82387,70369,11141,20823,1.869,82.06
report_annual_19.md,Annual,38564,32727,5318,8272,1.555,38.41
report_annual_2.md,Annual,520428,442313,72779,119461,1.641,515.56
report_annual_20.md,Annual,477684,406731,66533,107621,1.618,474.09
report_annual_21.md,Annual,348332,291260,51329,83356,1.624,346.25
report_annual_22.md,Annual,378964,322810,52669,84376,1.602,376.28
report_annual_23.md,Annual,546212,471282,70481,126402,1.793,542.12
report_annual_24.md,Annual,146202,123530,19737,33307,1.688,146.14
report_annual_25.md,Annual,138274,121613,15322,37368,2.439,136.95
report_annual_3.md,Annual,405997,354166,48531,102043,2.103,402.13
report_annual_4.md,Annual,580463,494925,79221,134491,1.698,575.31
report_annual_5.md,Annual,599643,510537,81708,138885,1.7,594.32
report_annual_6.md,Annual,226634,189296,33701,63848,1.895,225.96
report_annual_7.md,Annual,520713,444109,68680,127799,1.861,516.91
report_annual_8.md,Annual,154794,135904,17569,63498,3.614,163.93
report_annual_9.md,Annual,97988,82510,14268,23305,1.633,97.93
report_quartely_1.md,Quarterly,53178,47102,5248,16747,3.191,53.05
report_quartely_10.md,Quarterly,82364,70181,11374,24367,2.142,81.98
report_quartely_11.md,Quarterly,35402,30082,4729,11160,2.36,35.3
report_quartely_12.md,Quarterly,130513,113623,15275,41750,2.733,129.57
report_quartely_13.md,Quarterly,84358,71347,12108,23326,1.926,85.55
report_quartely_14.md,Quarterly,106534,93075,12468,29326,2.352,105.92
report_quartely_15.md,Quarterly,80331,69065,10474,20487,1.956,80.42
report_quartely_16.md,Quarterly,51170,44733,5942,14705,2.475,51.18
report_quartely_17.md,Quarterly,66033,55206,8611,19669,2.284,65.36
report_quartely_18.md,Quarterly,10429,9062,1232,3244,2.633,10.52
report_quartely_19.md,Quarterly,101251,87172,13099,26553,2.027,100.46
report_quartely_2.md,Quarterly,79906,69426,9678,22370,2.311,79.64
report_quartely_20.md,Quarterly,40390,34885,5094,10953,2.15,40.18
report_quartely_21.md,Quarterly,80974,70011,10276,22210,2.161,80.85
report_quartely_22.md,Quarterly,106825,91505,13930,29122,2.091,106.81
report_quartely_23.md,Quarterly,57066,50989,5615,17989,3.204,56.86
report_quartely_24.md,Quarterly,22759,19664,2819,6312,2.239,22.68
report_quartely_25.md,Quarterly,21222,18528,2377,6675,2.808,21.38
report_quartely_3.md,Quarterly,36845,31753,4708,9631,2.046,36.62
report_quartely_4.md,Quarterly,45306,39111,5495,13702,2.494,45.18
report_quartely_5.md,Quarterly,61013,53175,7078,17779,2.512,60.94
report_quartely_6.md,Quarterly,84318,72126,11394,24721,2.17,83.91
report_quartely_7.md,Quarterly,48742,42332,5907,14302,2.421,48.49
report_quartely_8.md,Quarterly,74609,63086,10725,21489,2.004,74.22
report_quartely_9.md,Quarterly,116651,101354,14316,32774,2.289,116.22
